[L] site aldn 1000
[L] 200-        __________/_____                              _____________________.
[L] 200- _______\__      /     /_____\____\________     ______\      ..            |
[L] 200-   [94] edelweiss    - = LT = -                 444    1,056MB     1478K/s
[L] 200-   [95] alpha        AMN                        213    1,024MB      921K/s
[L] 200-   [96] egoiste      0xBADC0DE                  125    1,023MB      316K/s
[L] 200-   [97] dsh          blub                       431      917MB      206K/s
[L] 200-   [98] rubyx        finding nemo..             280      776MB      696K/s
[L] 200-   [99] pusher       lets inject some speed     277      761MB      288K/s
[L] 200-   [100] wast         just shutup and trade      218      743MB      960K/s
[L] 200-   [101] darkwolf     GAYZ ONLY                  222      707MB     1815K/s
[L] 200-   [102] Termin-X     www.manbras.org            230      679MB     1042K/s
[L] 200-   [103] Corby        I'm working for KGB :)     118      652MB       18K/s
[L] 200-   [104] moss         .                           96      594MB      147K/s
[L] 200-   [105] citizen      O ROX                      194      559MB     1512K/s
[L] 200-   [106] seir         0xBADC0DE                   36      477MB       62K/s
[L] 200-   [107] skitza       I Narqed Napster           144      409MB     1847K/s
[L] 200-   [108] moto         A-O-D                      102      407MB     1002K/s
[L] 200-   [109] ls           -+ AMNESiA +-               53      330MB     1003K/s
[L] 200-   [110] algalord     bleh                        96      252MB     1648K/s
[L] 200-   [111] sweeper      ...                         61      184MB     1254K/s
[L] 200-   [112] damaster     MAFiA FAMiLiA TOUR v20      51      162MB     2183K/s
[L] 200-   [113] snatch       ECLiPSE owns               231      138MB        8K/s
[L] 200-   [114] gloom        OZONE                       37      137MB        6K/s
[L] 200-   [115] gavin        I LOVE RNS LIKE A FAT       42      130MB     1002K/s
[L] 200-   [116] syntax       ::VOTE KERRY::              37      104MB       65K/s
[L] 200-   [117] aj           calling all angels          30      101MB     1083K/s
[L] 200-   [118] yick         am.sexy                     32       83MB     1150K/s
[L] 200-   [119] worp         homo                        19       47MB      342K/s
[L] 200-   [120] Piteco       EMBRACE                     34       46MB       61K/s
[L] 200-   [121] ermac        ermac                       11       34MB       69K/s
[L] 200-   [122] prude        Jesus is a jew              10       28MB     1014K/s
[L] 200-   [123] taint        Die another day             14       14MB      975K/s
[L] 200-   [124] dhdshjs      yes i am sexy               18       11MB       80K/s
[L] 200-   [125] gzuz         rck d wrld                   7        6MB      470K/s
[L] 200-   [126] fr0d0        For a better Quality       324        3MB       10K/s
[L] 200-   [127] thefox       lammar                       9        3MB      104K/s
[L] 200-   [128] pdrill       dumdimdumdimdam              3        1MB     1345K/s
[L] 200-   [129] ECL-PRE      ::VOTE KERRY::              41        0MB        0K/s
[L] 200-   [130] nm0          Prying open my third e       8        0MB       33K/s
[L] 200-   [131] kathmandu    100                          1        0MB       10K/s
[L] 200-   [132] bleeding     .                            1        0MB        0K/s
[L] 200-   [133] Clansman     EMBRACE - WE R GANG          2        0MB        4K/s
[L] 200-   [134] brot         wasweissich                  1        0MB        4K/s
[L] 200- \--------------------------------------------------------------------------/
ozone-1.game-server.cc:38183

pajo:lexmark5
pyro:dragon11
lucky:apqmwn
tiger:cock99
